Task ID,Job Name,Start Time,Period,Execution Time,Deadline Time,Priority,Finish Time,Least Finish Time,Time Budget,Idle Task Time,Smart Machine ID,Task Completion Status,Total Number of Tasks for Smart Machine X,Utilization Capacity of Smart Machine (%),Total Workload Capacity Required for Smart Machine X
Task 4125,Job 1,11,9,3,11,1,14,22,8,3,3,1,4125,4159,8
Task 4126,Job 0,1,8,3,11,1,4,12,8,3,4,1,4126,4159,7
Task 4126,Job 1,6,8,4,11,1,10,17,7,4,1,2,4126,4159,12
Task 4127,Job 0,4,7,3,9,0,7,13,6,3,1,1,4127,4160,12
Task 4127,Job 1,9,4,3,8,0,12,17,5,3,3,2,4127,4160,14
Task 4128,Job 0,3,10,1,8,0,4,11,7,1,1,2,4128,4161,9
Task 4128,Job 1,8,7,2,7,0,10,15,5,2,1,0,4128,4161,4
Task 4129,Job 0,1,8,3,6,0,4,7,3,3,4,1,4129,4162,16
Task 4129,Job 1,6,8,1,12,0,7,18,11,1,1,2,4129,4162,17
Task 4130,Job 0,4,5,1,12,0,5,16,11,1,1,2,4130,4164,15
Task 4130,Job 1,9,8,2,6,0,11,15,4,2,4,1,4130,4164,3
Task 4131,Job 0,6,10,2,7,0,8,13,5,2,3,1,4131,4164,11
Task 4131,Job 1,11,7,1,10,1,12,21,9,1,2,2,4131,4164,2
Task 4132,Job 0,1,7,4,12,1,5,13,8,4,1,1,4132,4166,20
Task 4132,Job 1,6,6,3,8,0,9,14,5,3,3,1,4132,4166,14
Task 4133,Job 0,9,7,2,6,0,11,15,4,2,1,0,4133,4167,2
Task 4133,Job 1,14,6,3,7,0,17,21,4,3,1,2,4133,4167,14
Task 4134,Job 0,10,6,2,11,0,12,21,9,2,4,0,4134,4168,18
Task 4134,Job 1,15,9,2,6,0,17,21,4,2,3,1,4134,4168,16
Task 4135,Job 0,6,8,3,9,1,9,15,6,3,2,1,4135,4169,12
Task 4135,Job 1,11,4,2,10,0,13,21,8,2,1,2,4135,4169,19
Task 4136,Job 0,8,7,4,6,1,12,14,2,4,2,0,4136,4169,13
Task 4136,Job 1,13,10,2,6,0,15,19,4,2,2,0,4136,4169,11
Task 4137,Job 0,4,9,4,6,0,8,10,2,4,3,2,4137,4171,9
Task 4137,Job 1,9,6,2,6,0,11,15,4,2,1,2,4137,4171,9
Task 4138,Job 0,7,9,2,11,0,9,18,9,2,4,0,4138,4171,2
Task 4138,Job 1,12,8,3,8,0,15,20,5,3,1,2,4138,4171,3
Task 4139,Job 0,10,9,3,8,0,13,18,5,3,3,1,4139,4172,15
Task 4139,Job 1,15,5,1,11,0,16,26,10,1,3,2,4139,4172,10
Task 4140,Job 0,1,7,2,12,1,3,13,10,2,2,0,4140,4173,11
Task 4140,Job 1,6,6,2,9,0,8,15,7,2,4,1,4140,4173,17
Task 4141,Job 0,2,4,4,10,0,6,12,6,4,1,2,4141,4175,16
Task 4141,Job 1,7,10,4,12,0,11,19,8,4,1,0,4141,4175,2
Task 4142,Job 0,5,10,1,8,1,6,13,7,1,1,0,4142,4176,20
Task 4142,Job 1,10,7,3,12,0,13,22,9,3,1,1,4142,4176,4
Task 4143,Job 0,10,7,4,6,0,14,16,2,4,4,2,4143,4177,6
Task 4143,Job 1,15,8,3,12,1,18,27,9,3,3,2,4143,4177,13
Task 4144,Job 0,3,9,2,8,0,5,11,6,2,2,0,4144,4178,4
Task 4144,Job 1,8,10,2,7,0,10,15,5,2,1,2,4144,4178,7
Task 4145,Job 0,1,5,4,7,0,5,8,3,4,4,2,4145,4179,8
Task 4145,Job 1,6,4,4,8,0,10,14,4,4,2,1,4145,4179,20
Task 4146,Job 0,10,6,1,9,0,11,19,8,1,1,0,4146,4179,14
Task 4146,Job 1,15,5,1,10,0,16,25,9,1,3,1,4146,4179,5
Task 4147,Job 0,10,5,2,6,1,12,16,4,2,2,0,4147,4181,14
Task 4147,Job 1,15,4,1,7,0,16,22,6,1,1,1,4147,4181,16
Task 4148,Job 0,2,6,3,9,0,5,11,6,3,1,0,4148,4182,4
Task 4148,Job 1,7,10,1,11,0,8,18,10,1,3,0,4148,4182,3
Task 4149,Job 0,7,8,1,6,1,8,13,5,1,3,2,4149,4182,12
Task 4149,Job 1,12,8,3,12,0,15,24,9,3,2,0,4149,4182,15
Task 4150,Job 0,9,9,3,9,1,12,18,6,3,4,1,4150,4183,14
Task 4150,Job 1,14,9,1,10,1,15,24,9,1,2,1,4150,4183,16
Task 4151,Job 0,9,4,1,8,0,10,17,7,1,1,2,4151,4184,3
Task 4151,Job 1,14,4,3,7,1,17,21,4,3,2,1,4151,4184,9
Task 4152,Job 0,3,4,1,11,0,4,14,10,1,2,0,4152,4185,6
Task 4152,Job 1,8,6,2,10,0,10,18,8,2,1,1,4152,4185,4
Task 4153,Job 0,6,7,2,9,1,8,15,7,2,3,2,4153,4187,10
Task 4153,Job 1,11,7,4,7,0,15,18,3,4,4,0,4153,4187,20
Task 4154,Job 0,3,5,2,7,0,5,10,5,2,2,1,4154,4188,10
Task 4154,Job 1,8,10,2,8,1,10,16,6,2,3,0,4154,4188,3
Task 4155,Job 0,2,8,2,9,1,4,11,7,2,1,1,4155,4189,19
Task 4155,Job 1,7,8,2,8,0,9,15,6,2,4,0,4155,4189,10
Task 4156,Job 0,10,4,2,6,0,12,16,4,2,4,1,4156,4190,14
Task 4156,Job 1,15,7,3,8,0,18,23,5,3,4,0,4156,4190,15
Task 4157,Job 0,7,10,4,6,0,11,13,2,4,1,2,4157,4191,8
Task 4157,Job 1,12,8,1,7,0,13,19,6,1,1,1,4157,4191,8
Task 4158,Job 0,10,6,4,9,0,14,19,5,4,3,0,4158,4191,12
Task 4158,Job 1,15,8,1,9,0,16,24,8,1,1,0,4158,4191,15
Task 4159,Job 0,5,5,1,10,0,6,15,9,1,1,1,4159,4192,4
Task 4159,Job 1,10,9,2,8,0,12,18,6,2,1,2,4159,4192,9
Task 4160,Job 0,4,8,1,10,0,5,14,9,1,2,0,4160,4193,14
Task 4160,Job 1,9,4,1,9,0,10,18,8,1,2,1,4160,4193,11
Task 4161,Job 0,7,4,1,9,1,8,16,8,1,3,2,4161,4195,6
Task 4161,Job 1,12,4,2,11,0,14,23,9,2,4,0,4161,4195,2
Task 4162,Job 0,2,8,1,10,0,3,12,9,1,4,2,4162,4196,11
Task 4162,Job 1,7,8,3,6,0,10,13,3,3,4,0,4162,4196,12
Task 4163,Job 0,9,8,3,6,0,12,15,3,3,4,0,4163,4197,8
Task 4163,Job 1,14,10,1,8,0,15,22,7,1,4,2,4163,4197,20
Task 4164,Job 0,8,10,4,11,1,12,19,7,4,2,0,4164,4197,7
Task 4164,Job 1,13,8,2,8,0,15,21,6,2,1,0,4164,4197,16
Task 4165,Job 0,10,9,1,7,0,11,17,6,1,2,2,4165,4198,12
Task 4165,Job 1,15,7,2,12,0,17,27,10,2,1,0,4165,4198,3
Task 4166,Job 0,7,8,4,12,1,11,19,8,4,1,2,4166,4200,7
Task 4166,Job 1,12,5,1,9,0,13,21,8,1,2,1,4166,4200,15
Task 4167,Job 0,9,9,4,12,1,13,21,8,4,1,1,4167,4200,14
Task 4167,Job 1,14,6,4,9,0,18,23,5,4,3,2,4167,4200,16
Task 4168,Job 0,10,5,1,7,0,11,17,6,1,2,2,4168,4201,5
Task 4168,Job 1,15,6,2,7,0,17,22,5,2,3,2,4168,4201,10
Task 4169,Job 0,9,10,1,12,0,10,21,11,1,2,0,4169,4202,10
Task 4169,Job 1,14,7,4,8,1,18,22,4,4,3,0,4169,4202,6
Task 4170,Job 0,7,6,2,12,1,9,19,10,2,2,0,4170,4204,19
Task 4170,Job 1,12,7,3,8,0,15,20,5,3,4,1,4170,4204,15
Task 4171,Job 0,7,9,4,7,0,11,14,3,4,3,1,4171,4205,15
Task 4171,Job 1,12,10,2,11,0,14,23,9,2,2,2,4171,4205,8
Task 4172,Job 0,2,7,4,12,0,6,14,8,4,2,2,4172,4205,9
Task 4172,Job 1,7,7,4,7,0,11,14,3,4,4,2,4172,4205,13
Task 4173,Job 0,4,4,1,9,0,5,13,8,1,2,1,4173,4206,4
Task 4173,Job 1,9,4,3,11,1,12,20,8,3,1,0,4173,4206,12
Task 4174,Job 0,10,10,3,8,0,13,18,5,3,1,1,4174,4208,4
Task 4174,Job 1,15,6,4,10,0,19,25,6,4,1,1,4174,4208,11
Task 4175,Job 0,2,6,3,7,0,5,9,4,3,2,1,4175,4209,5
Task 4175,Job 1,7,4,1,9,1,8,16,8,1,4,0,4175,4209,9
Task 4176,Job 0,9,4,3,11,0,12,20,8,3,2,1,4176,4210,7
Task 4176,Job 1,14,5,4,6,0,18,20,2,4,1,1,4176,4210,16
Task 4177,Job 0,5,10,3,10,0,8,15,7,3,4,0,4177,4210,10
Task 4177,Job 1,10,7,4,9,0,14,19,5,4,4,2,4177,4210,14
Task 4178,Job 0,5,6,1,12,0,6,17,11,1,1,1,4178,4212,7
Task 4178,Job 1,10,5,2,10,0,12,20,8,2,4,2,4178,4212,5
Task 4179,Job 0,3,7,2,10,0,5,13,8,2,4,1,4179,4212,2
Task 4179,Job 1,8,8,2,11,1,10,19,9,2,2,2,4179,4212,10
Task 4180,Job 0,8,8,1,6,0,9,14,5,1,3,1,4180,4214,6
Task 4180,Job 1,13,9,4,10,0,17,23,6,4,4,1,4180,4214,18
Task 4181,Job 0,10,5,3,9,0,13,19,6,3,2,1,4181,4215,9
Task 4181,Job 1,15,6,3,7,0,18,22,4,3,3,2,4181,4215,9
Task 4182,Job 0,8,4,3,10,1,11,18,7,3,1,2,4182,4215,4
Task 4182,Job 1,13,8,4,7,0,17,20,3,4,4,1,4182,4215,3
Task 4183,Job 0,10,6,3,6,0,13,16,3,3,3,2,4183,4216,9
Task 4183,Job 1,15,9,4,6,1,19,21,2,4,4,0,4183,4216,13
Task 4184,Job 0,3,9,2,12,1,5,15,10,2,2,1,4184,4218,11
Task 4184,Job 1,8,4,2,9,0,10,17,7,2,4,0,4184,4218,9
Task 4185,Job 0,8,5,1,11,0,9,19,10,1,1,2,4185,4219,9
Task 4185,Job 1,13,8,4,12,0,17,25,8,4,3,1,4185,4219,7
Task 4186,Job 0,1,10,4,10,0,5,11,6,4,4,1,4186,4219,6
Task 4186,Job 1,6,5,1,9,0,7,15,8,1,2,1,4186,4219,19
Task 4187,Job 0,7,6,3,10,1,10,17,7,3,1,2,4187,4221,19
Task 4187,Job 1,12,9,2,11,0,14,23,9,2,1,1,4187,4221,11
Task 4188,Job 0,5,8,4,12,0,9,17,8,4,4,2,4188,4222,11
Task 4188,Job 1,10,4,1,12,0,11,22,11,1,1,2,4188,4222,4
Task 4189,Job 0,5,6,4,12,0,9,17,8,4,3,1,4189,4223,20
Task 4189,Job 1,10,10,2,9,0,12,19,7,2,2,0,4189,4223,12
Task 4190,Job 0,10,6,4,6,0,14,16,2,4,2,1,4190,4224,9
Task 4190,Job 1,15,8,4,12,0,19,27,8,4,3,1,4190,4224,16
Task 4191,Job 0,8,6,4,7,0,12,15,3,4,1,1,4191,4225,10
Task 4191,Job 1,13,8,2,11,0,15,24,9,2,1,1,4191,4225,9
Task 4192,Job 0,8,8,2,10,0,10,18,8,2,3,0,4192,4226,19
Task 4192,Job 1,13,6,2,12,0,15,25,10,2,3,0,4192,4226,16
Task 4193,Job 0,2,4,1,11,1,3,13,10,1,2,2,4193,4226,10
Task 4193,Job 1,7,9,4,8,0,11,15,4,4,2,0,4193,4226,5
Task 4194,Job 0,10,7,1,12,0,11,22,11,1,3,1,4194,4227,14
Task 4194,Job 1,15,8,4,10,0,19,25,6,4,2,1,4194,4227,3
Task 4195,Job 0,10,8,2,8,0,12,18,6,2,2,1,4195,4228,6
Task 4195,Job 1,15,4,3,6,1,18,21,3,3,1,1,4195,4228,8
Task 4196,Job 0,1,4,4,7,0,5,8,3,4,1,2,4196,4229,7
Task 4196,Job 1,6,9,4,6,0,10,12,2,4,2,0,4196,4229,14
Task 4197,Job 0,10,8,3,11,0,13,21,8,3,3,1,4197,4231,19
Task 4197,Job 1,15,7,3,9,0,18,24,6,3,4,1,4197,4231,16
Task 4198,Job 0,6,4,2,12,0,8,18,10,2,2,2,4198,4232,17
Task 4198,Job 1,11,5,1,12,0,12,23,11,1,2,0,4198,4232,9
Task 4199,Job 0,10,8,2,12,0,12,22,10,2,4,2,4199,4233,18
Task 4199,Job 1,15,7,2,11,1,17,26,9,2,4,1,4199,4233,11
Task 4200,Job 0,4,10,3,8,1,7,12,5,3,2,1,4200,4233,19
Task 4200,Job 1,9,8,2,12,0,11,21,10,2,1,0,4200,4233,13
Task 4201,Job 0,5,10,1,12,0,6,17,11,1,3,1,4201,4234,19
Task 4201,Job 1,10,10,1,11,0,11,21,10,1,2,2,4201,4234,3
Task 4202,Job 0,4,6,2,10,1,6,14,8,2,1,2,4202,4235,15
Task 4202,Job 1,9,10,1,12,0,10,21,11,1,3,1,4202,4235,9
Task 4203,Job 0,10,8,1,8,0,11,18,7,1,1,1,4203,4237,12
Task 4203,Job 1,15,8,4,7,0,19,22,3,4,2,1,4203,4237,16
Task 4204,Job 0,4,10,3,10,0,7,14,7,3,1,0,4204,4238,14
Task 4204,Job 1,9,10,2,7,0,11,16,5,2,3,0,4204,4238,2
Task 4205,Job 0,9,8,3,12,0,12,21,9,3,1,1,4205,4239,5
Task 4205,Job 1,14,4,2,12,0,16,26,10,2,4,0,4205,4239,17
Task 4206,Job 0,6,10,4,7,0,10,13,3,4,3,1,4206,4239,5
Task 4206,Job 1,11,10,4,7,1,15,18,3,4,3,0,4206,4239,12
Task 4207,Job 0,8,7,2,8,0,10,16,6,2,4,0,4207,4240,2
Task 4207,Job 1,13,9,4,10,0,17,23,6,4,1,1,4207,4240,2
Task 4208,Job 0,7,6,3,10,0,10,17,7,3,4,0,4208,4241,6
Task 4208,Job 1,12,6,4,10,1,16,22,6,4,3,2,4208,4241,13
Task 4209,Job 0,4,6,1,6,0,5,10,5,1,4,0,4209,4243,9
Task 4209,Job 1,9,9,2,12,0,11,21,10,2,2,2,4209,4243,6
Task 4210,Job 0,6,5,1,7,0,7,13,6,1,1,0,4210,4244,3
Task 4210,Job 1,11,7,4,11,0,15,22,7,4,4,2,4210,4244,10
Task 4211,Job 0,8,4,1,10,1,9,18,9,1,3,2,4211,4244,14
Task 4211,Job 1,13,8,4,6,0,17,19,2,4,4,0,4211,4244,18
Task 4212,Job 0,2,6,4,9,0,6,11,5,4,4,2,4212,4245,2
Task 4212,Job 1,7,8,2,6,0,9,13,4,2,4,2,4212,4245,6
Task 4213,Job 0,3,8,2,8,0,5,11,6,2,2,1,4213,4246,19
Task 4213,Job 1,8,8,2,8,0,10,16,6,2,3,2,4213,4246,16
Task 4214,Job 0,5,6,1,10,0,6,15,9,1,4,2,4214,4248,17
Task 4214,Job 1,10,10,4,6,1,14,16,2,4,3,2,4214,4248,13
Task 4215,Job 0,4,5,4,6,0,8,10,2,4,1,0,4215,4248,15
Task 4215,Job 1,9,6,1,12,0,10,21,11,1,4,1,4215,4248,7
Task 4216,Job 0,8,6,3,12,0,11,20,9,3,2,1,4216,4249,14
Task 4216,Job 1,13,5,2,6,1,15,19,4,2,3,0,4216,4249,13
Task 4217,Job 0,6,6,2,8,1,8,14,6,2,2,2,4217,4250,11
Task 4217,Job 1,11,5,2,11,0,13,22,9,2,1,0,4217,4250,13
Task 4218,Job 0,2,6,3,10,0,5,12,7,3,1,1,4218,4252,20
Task 4218,Job 1,7,5,1,6,0,8,13,5,1,4,0,4218,4252,11
Task 4219,Job 0,2,8,2,9,0,4,11,7,2,2,0,4219,4252,8
Task 4219,Job 1,7,6,1,9,1,8,16,8,1,4,2,4219,4252,13
Task 4220,Job 0,9,7,1,9,1,10,18,8,1,2,0,4220,4253,20
Task 4220,Job 1,14,6,4,10,1,18,24,6,4,2,0,4220,4253,12
Task 4221,Job 0,8,10,3,6,1,11,14,3,3,3,0,4221,4255,14
Task 4221,Job 1,13,7,2,6,0,15,19,4,2,1,0,4221,4255,15
Task 4222,Job 0,5,7,2,6,0,7,11,4,2,2,2,4222,4255,6
Task 4222,Job 1,10,5,3,10,0,13,20,7,3,3,2,4222,4255,16
Task 4223,Job 0,3,6,3,10,0,6,13,7,3,3,2,4223,4256,13
Task 4223,Job 1,8,4,2,6,0,10,14,4,2,2,0,4223,4256,17
Task 4224,Job 0,9,8,4,7,0,13,16,3,4,3,0,4224,4257,17
Task 4224,Job 1,14,7,4,10,0,18,24,6,4,4,0,4224,4257,5
Task 4225,Job 0,5,8,3,7,0,8,12,4,3,2,0,4225,4259,20
Task 4225,Job 1,10,9,2,11,0,12,21,9,2,4,0,4225,4259,20
Task 4226,Job 0,1,4,2,7,0,3,8,5,2,3,0,4226,4259,16
Task 4226,Job 1,6,9,4,10,0,10,16,6,4,1,2,4226,4259,14
Task 4227,Job 0,6,7,2,12,0,8,18,10,2,2,0,4227,4261,11
Task 4227,Job 1,11,10,3,8,0,14,19,5,3,1,2,4227,4261,12
Task 4228,Job 0,4,6,4,6,0,8,10,2,4,2,1,4228,4261,12
Task 4228,Job 1,9,5,3,8,0,12,17,5,3,4,1,4228,4261,19
Task 4229,Job 0,5,10,4,9,0,9,14,5,4,3,2,4229,4263,16
Task 4229,Job 1,10,10,4,10,0,14,20,6,4,2,2,4229,4263,12
Task 4230,Job 0,7,8,4,12,1,11,19,8,4,1,2,4230,4263,11
Task 4230,Job 1,12,7,2,11,0,14,23,9,2,1,0,4230,4263,12
Task 4231,Job 0,8,7,3,8,0,11,16,5,3,3,0,4231,4265,2
Task 4231,Job 1,13,8,2,12,1,15,25,10,2,4,2,4231,4265,10
Task 4232,Job 0,4,6,2,8,0,6,12,6,2,1,1,4232,4266,18
Task 4232,Job 1,9,7,1,7,0,10,16,6,1,1,2,4232,4266,4
Task 4233,Job 0,4,6,3,7,1,7,11,4,3,4,1,4233,4267,11
Task 4233,Job 1,9,5,2,8,0,11,17,6,2,1,2,4233,4267,12
Task 4234,Job 0,1,6,3,10,1,4,11,7,3,3,2,4234,4268,20
Task 4234,Job 1,6,8,4,8,0,10,14,4,4,1,0,4234,4268,7
Task 4235,Job 0,5,5,1,10,0,6,15,9,1,1,1,4235,4268,12
Task 4235,Job 1,10,7,1,6,0,11,16,5,1,4,1,4235,4268,5
Task 4236,Job 0,7,9,4,9,0,11,16,5,4,4,0,4236,4269,5
Task 4236,Job 1,12,8,1,11,0,13,23,10,1,1,2,4236,4269,19
Task 4237,Job 0,2,4,1,8,0,3,10,7,1,4,1,4237,4271,16
Task 4237,Job 1,7,7,2,11,0,9,18,9,2,3,0,4237,4271,3
Task 4238,Job 0,9,10,3,11,0,12,20,8,3,2,1,4238,4272,18
Task 4238,Job 1,14,7,4,12,0,18,26,8,4,3,1,4238,4272,9
Task 4239,Job 0,4,4,2,8,0,6,12,6,2,4,0,4239,4273,2
Task 4239,Job 1,9,4,3,8,0,12,17,5,3,2,0,4239,4273,15
Task 4240,Job 0,9,8,3,8,0,12,17,5,3,2,0,4240,4274,8
Task 4240,Job 1,14,8,1,10,0,15,24,9,1,3,2,4240,4274,11
Task 4241,Job 0,4,6,2,11,1,6,15,9,2,4,1,4241,4275,4
Task 4241,Job 1,9,6,4,8,0,13,17,4,4,4,1,4241,4275,17
Task 4242,Job 0,4,10,4,8,1,8,12,4,4,3,0,4242,4276,17
Task 4242,Job 1,9,7,2,11,1,11,20,9,2,4,1,4242,4276,16
Task 4243,Job 0,8,10,4,8,0,12,16,4,4,3,0,4243,4277,10
Task 4243,Job 1,13,9,1,12,1,14,25,11,1,2,0,4243,4277,16
Task 4244,Job 0,6,6,1,6,0,7,12,5,1,3,2,4244,4278,17
Task 4244,Job 1,11,4,4,8,0,15,19,4,4,2,0,4244,4278,20
Task 4245,Job 0,9,8,4,11,0,13,20,7,4,1,0,4245,4278,19
Task 4245,Job 1,14,9,4,9,0,18,23,5,4,4,2,4245,4278,20
Task 4246,Job 0,10,7,2,11,0,12,21,9,2,2,1,4246,4279,12
Task 4246,Job 1,15,7,1,11,0,16,26,10,1,3,0,4246,4279,11
Task 4247,Job 0,1,9,3,12,0,4,13,9,3,1,1,4247,4281,8
Task 4247,Job 1,6,10,4,6,0,10,12,2,4,3,2,4247,4281,8
Task 4248,Job 0,4,9,2,6,1,6,10,4,2,4,2,4248,4282,4
Task 4248,Job 1,9,4,2,9,0,11,18,7,2,2,2,4248,4282,4
Task 4249,Job 0,2,7,4,12,1,6,14,8,4,1,2,4249,4282,8
Task 4249,Job 1,7,7,1,10,0,8,17,9,1,3,0,4249,4282,14
Task 4250,Job 0,3,6,2,12,0,5,15,10,2,1,0,4250,4284,19
Task 4250,Job 1,8,8,2,8,0,10,16,6,2,1,0,4250,4284,16
Task 4251,Job 0,10,8,2,12,0,12,22,10,2,1,0,4251,4285,11
Task 4251,Job 1,15,6,1,11,0,16,26,10,1,2,2,4251,4285,18
Task 4252,Job 0,9,5,4,12,0,13,21,8,4,3,0,4252,4286,10
Task 4252,Job 1,14,5,4,7,0,18,21,3,4,3,0,4252,4286,9
Task 4253,Job 0,10,9,4,9,1,14,19,5,4,2,2,4253,4287,20
Task 4253,Job 1,15,6,2,11,0,17,26,9,2,3,0,4253,4287,13
Task 4254,Job 0,8,10,2,10,0,10,18,8,2,1,2,4254,4287,5
Task 4254,Job 1,13,5,4,7,0,17,20,3,4,1,2,4254,4287,12
Task 4255,Job 0,7,8,2,9,0,9,16,7,2,4,2,4255,4288,19
Task 4255,Job 1,12,8,2,9,1,14,21,7,2,3,0,4255,4288,16
Task 4256,Job 0,9,10,1,10,0,10,19,9,1,2,2,4256,4289,2
Task 4256,Job 1,14,10,4,8,0,18,22,4,4,2,0,4256,4289,12
Task 4257,Job 0,1,6,3,6,0,4,7,3,3,2,2,4257,4291,16
Task 4257,Job 1,6,4,1,6,0,7,12,5,1,4,1,4257,4291,5
Task 4258,Job 0,10,5,1,9,1,11,19,8,1,3,1,4258,4292,8
Task 4258,Job 1,15,4,2,8,0,17,23,6,2,2,1,4258,4292,12
Task 4259,Job 0,2,6,2,8,0,4,10,6,2,1,2,4259,4292,6
Task 4259,Job 1,7,8,3,11,1,10,18,8,3,4,2,4259,4292,19
Task 4260,Job 0,7,8,4,10,0,11,17,6,4,1,2,4260,4293,17
Task 4260,Job 1,12,9,3,7,0,15,19,4,3,3,2,4260,4293,2
Task 4261,Job 0,3,5,1,11,1,4,14,10,1,3,0,4261,4294,3
Task 4261,Job 1,8,10,4,6,0,12,14,2,4,4,2,4261,4294,6
Task 4262,Job 0,9,10,2,10,0,11,19,8,2,2,1,4262,4296,20
Task 4262,Job 1,14,4,4,7,0,18,21,3,4,4,0,4262,4296,5
Task 4263,Job 0,3,7,2,9,1,5,12,7,2,1,0,4263,4297,12
Task 4263,Job 1,8,4,3,10,0,11,18,7,3,1,2,4263,4297,11
Task 4264,Job 0,3,5,2,7,0,5,10,5,2,2,2,4264,4298,14
Task 4264,Job 1,8,10,4,7,0,12,15,3,4,3,0,4264,4298,17
Task 4265,Job 0,10,8,3,7,0,13,17,4,3,4,1,4265,4298,3
Task 4265,Job 1,15,7,3,6,0,18,21,3,3,2,1,4265,4298,20
Task 4266,Job 0,10,6,3,12,0,13,22,9,3,3,1,4266,4299,14
Task 4266,Job 1,15,5,1,12,0,16,27,11,1,3,2,4266,4299,5
Task 4267,Job 0,1,6,4,10,0,5,11,6,4,2,2,4267,4301,7
Task 4267,Job 1,6,7,1,9,0,7,15,8,1,2,1,4267,4301,18
Task 4268,Job 0,6,6,3,11,1,9,17,8,3,4,2,4268,4302,2
Task 4268,Job 1,11,7,4,9,1,15,20,5,4,3,0,4268,4302,14
Task 4269,Job 0,7,8,4,12,0,11,19,8,4,3,1,4269,4303,4
Task 4269,Job 1,12,9,1,11,1,13,23,10,1,3,1,4269,4303,19
Task 4270,Job 0,3,6,2,6,0,5,9,4,2,1,2,4270,4304,4
Task 4270,Job 1,8,8,2,12,0,10,20,10,2,4,0,4270,4304,18
Task 4271,Job 0,4,10,1,9,0,5,13,8,1,1,2,4271,4304,8
Task 4271,Job 1,9,10,2,11,0,11,20,9,2,1,0,4271,4304,13
Task 4272,Job 0,10,10,3,9,0,13,19,6,3,1,2,4272,4305,3
Task 4272,Job 1,15,5,1,9,0,16,24,8,1,4,2,4272,4305,11
Task 4273,Job 0,10,5,3,6,0,13,16,3,3,4,2,4273,4307,19
Task 4273,Job 1,15,9,2,7,0,17,22,5,2,3,0,4273,4307,4
Task 4274,Job 0,6,7,3,9,0,9,15,6,3,1,1,4274,4307,12
Task 4274,Job 1,11,5,2,9,1,13,20,7,2,1,2,4274,4307,11
Task 4275,Job 0,7,7,2,6,0,9,13,4,2,3,1,4275,4309,12
Task 4275,Job 1,12,10,4,10,0,16,22,6,4,4,2,4275,4309,11
Task 4276,Job 0,3,6,3,7,0,6,10,4,3,2,0,4276,4310,5
Task 4276,Job 1,8,7,4,11,0,12,19,7,4,3,1,4276,4310,11
Task 4277,Job 0,10,10,1,11,0,11,21,10,1,3,1,4277,4310,15
Task 4277,Job 1,15,9,1,11,0,16,26,10,1,2,2,4277,4310,15
Task 4278,Job 0,2,9,2,8,0,4,10,6,2,4,0,4278,4312,9
Task 4278,Job 1,7,4,2,7,0,9,14,5,2,4,2,4278,4312,9
Task 4279,Job 0,3,7,3,11,0,6,14,8,3,3,2,4279,4313,11
Task 4279,Job 1,8,9,3,12,0,11,20,9,3,2,0,4279,4313,15
Task 4280,Job 0,6,10,4,8,0,10,14,4,4,2,1,4280,4314,8
Task 4280,Job 1,11,8,3,11,0,14,22,8,3,3,0,4280,4314,20
Task 4281,Job 0,4,8,3,12,0,7,16,9,3,2,2,4281,4314,4
Task 4281,Job 1,9,9,1,12,0,10,21,11,1,2,0,4281,4314,16
Task 4282,Job 0,7,7,3,12,0,10,19,9,3,4,0,4282,4316,4
Task 4282,Job 1,12,7,2,6,1,14,18,4,2,1,0,4282,4316,3
Task 4283,Job 0,7,8,1,10,1,8,17,9,1,1,1,4283,4317,16
Task 4283,Job 1,12,4,4,6,0,16,18,2,4,4,1,4283,4317,17
Task 4284,Job 0,9,6,1,12,0,10,21,11,1,1,2,4284,4318,14
Task 4284,Job 1,14,4,3,7,1,17,21,4,3,3,0,4284,4318,18
Task 4285,Job 0,1,9,2,8,1,3,9,6,2,1,0,4285,4319,18
Task 4285,Job 1,6,10,2,8,0,8,14,6,2,1,2,4285,4319,3
Task 4286,Job 0,2,10,3,7,0,5,9,4,3,4,2,4286,4319,9
Task 4286,Job 1,7,6,4,8,0,11,15,4,4,2,1,4286,4319,7
Task 4287,Job 0,4,10,4,11,1,8,15,7,4,3,1,4287,4320,11
Task 4287,Job 1,9,8,2,11,1,11,20,9,2,4,2,4287,4320,6
Task 4288,Job 0,9,4,1,9,0,10,18,8,1,4,2,4288,4322,8
Task 4288,Job 1,14,8,2,9,0,16,23,7,2,3,2,4288,4322,15
Task 4289,Job 0,6,9,1,8,0,7,14,7,1,4,2,4289,4323,6
Task 4289,Job 1,11,5,2,7,0,13,18,5,2,2,2,4289,4323,16
Task 4290,Job 0,5,7,4,9,0,9,14,5,4,3,1,4290,4324,15
Task 4290,Job 1,10,6,4,10,0,14,20,6,4,4,1,4290,4324,15
Task 4291,Job 0,4,8,4,8,1,8,12,4,4,2,2,4291,4324,13
Task 4291,Job 1,9,7,2,6,0,11,15,4,2,4,1,4291,4324,19
Task 4292,Job 0,10,5,1,8,0,11,18,7,1,4,2,4292,4325,2
Task 4292,Job 1,15,6,3,9,0,18,24,6,3,3,1,4292,4325,14
Task 4293,Job 0,8,7,2,9,1,10,17,7,2,3,0,4293,4327,9
Task 4293,Job 1,13,9,1,8,0,14,21,7,1,2,1,4293,4327,14
Task 4294,Job 0,8,5,4,8,0,12,16,4,4,2,0,4294,4328,3
