Task ID,Temperature,Humidity
Task 1938,10.515,75.768
Task 1939,11.888,67.239
Task 1940,12.882,68.98
Task 1941,8.913,74.036
Task 1942,17.866,61.161
Task 1943,7.254,63.502
Task 1944,17.6,74.533
Task 1945,18.538,63.895
Task 1946,17.807,66.606
Task 1947,8.708,68.803
Task 1948,15.781,69.723
Task 1949,14.934,71.879
Task 1950,17.607,60.361
Task 1951,11.39,81.825
Task 1952,12.674,64.72
Task 1953,9.74,81.463
Task 1954,14.853,64.832
Task 1955,8.655,58.018
Task 1956,10.078,63.803
Task 1957,14.821,72.731
Task 1958,15.027,79.778
Task 1959,13.228,69.767
Task 1960,10.674,73.308
Task 1961,8.434,68.3
Task 1962,7.893,80.272
Task 1963,12.234,65.996
Task 1964,11.181,62.273
Task 1965,12.251,78.558
Task 1966,11.055,81.233
Task 1967,14.793,68.987
Task 1968,18.578,80.205
Task 1969,12.4,68.59
Task 1970,17.217,60.079
Task 1971,15.821,81.582
Task 1972,10.63,67.858
Task 1973,13.441,76.232
Task 1974,9.909,58.32
Task 1975,17.736,60.622
Task 1976,13.155,62.358
Task 1977,12.399,70.677
Task 1978,11.454,65.583
Task 1979,7.443,81.956
Task 1980,14.975,79.435
Task 1981,8.2,76.445
Task 1982,18.738,59.007
Task 1983,11.423,74.317
Task 1984,7.629,72.009
Task 1985,17.069,72.753
Task 1986,10.897,62.582
Task 1987,16.23,68.31
Task 1988,10.924,73.08
Task 1989,12.638,75.397
Task 1990,13.399,62.28
Task 1991,11.101,72.899
Task 1992,10.619,60.371
Task 1993,16.969,67.847
Task 1994,15.979,75.525
Task 1995,11.405,60.948
Task 1996,13.38,80.464
Task 1997,16.588,69.863
Task 1998,13.672,80.822
Task 1999,8.852,80.134
Task 2000,15.762,64.158
Task 2001,7.221,67.732
Task 2002,12.268,76.197
Task 2003,13.155,72.892
Task 2004,7.496,80.919
Task 2005,8.364,72.508
Task 2006,8.862,68.141
Task 2007,7.037,60.623
Task 2008,17.448,73.441
Task 2009,16.046,60.337
Task 2010,16.314,81.05
Task 2011,9.448,59.63
Task 2012,14.974,78.147
Task 2013,9.074,66.783
Task 2014,12.945,81.727
Task 2015,10.571,63.62
Task 2016,18.188,71.045
Task 2017,7.38,79.864
Task 2018,16.936,68.155
Task 2019,18.926,75.468
Task 2020,14.384,78.023
Task 2021,16.839,61.847
Task 2022,17.897,75.054
Task 2023,8.025,68.348
Task 2024,9.97,71.743
Task 2025,16.003,79.585
Task 2026,10.829,74.266
Task 2027,15.625,69.352
Task 2028,12.942,67.547
Task 2029,16.049,65.81
Task 2030,9.653,65.508
Task 2031,14.6,76.476
Task 2032,8.086,80.776
Task 2033,16.176,59.143
Task 2034,16.988,58.713
Task 2035,15.287,75.22
Task 2036,14.33,70.85
Task 2037,9.088,67.652
Task 2038,16.148,62.207
Task 2039,18.194,71.545
Task 2040,18.641,71.96
Task 2041,13.837,74.827
Task 2042,18.607,81.671
Task 2043,7.073,59.682
Task 2044,9.146,68.204
Task 2045,10.915,73.388
Task 2046,10.757,60.805
Task 2047,16.718,67.715
Task 2048,12.38,62.51
Task 2049,17.17,67.109
Task 2050,11.483,71.735
Task 2051,10.626,69.938
Task 2052,11.94,61.645
Task 2053,7.722,76.092
Task 2054,14.432,74.468
Task 2055,10.709,59.997
Task 2056,8.624,62.578
Task 2057,16.719,60.657
Task 2058,16.046,67.52
Task 2059,7.701,67.808
Task 2060,17.734,74.624
Task 2061,16.356,58.166
Task 2062,16.725,74.295
Task 2063,18.719,59.626
Task 2064,14.134,65.523
Task 2065,14.486,62.767
Task 2066,18.111,65.994
Task 2067,7.902,73.791
Task 2068,17.967,75.672
Task 2069,10.335,81.681
Task 2070,13.01,68.509
Task 2071,14.692,63.643
Task 2072,12.833,64.908
Task 2073,18.356,66.085
Task 2074,14.279,63.669
Task 2075,8.453,65.194
Task 2076,7.332,69.773
Task 2077,10.985,74.165
Task 2078,18.943,74.07
Task 2079,8.775,77.364
Task 2080,17.71,78.49
Task 2081,10.445,78.76
Task 2082,18.668,77.144
Task 2083,14.335,69.084
Task 2084,7.192,64.848
Task 2085,14.472,80.661
Task 2086,8.241,66.102
Task 2087,9.483,81.4
Task 2088,14.367,65.448
Task 2089,10.344,74.017
Task 2090,7.178,59.544
Task 2091,10.485,74.525
Task 2092,13.447,58.745
Task 2093,18.263,68.586
Task 2094,9.246,68.435
Task 2095,15.577,64.479
Task 2096,13.553,74.671
Task 2097,18.289,63.211
Task 2098,11.45,78.239
Task 2099,14.173,73.789
Task 2100,14.779,76.098
Task 2101,17.367,80.191
Task 2102,17.226,81.363
Task 2103,18.315,70.967
Task 2104,8.289,61.228
Task 2105,7.657,74.403
Task 2106,9.218,60.829
Task 2107,11.086,79.191
Task 2108,8.176,61.875
Task 2109,17.73,58.857
Task 2110,13.236,59.062
Task 2111,16.653,58.479
Task 2112,8.938,63.088
Task 2113,15.764,76.839
Task 2114,9.838,71.88
Task 2115,12.786,72.395
Task 2116,10.678,66.872
Task 2117,14.858,79.365
Task 2118,15.428,77.265
Task 2119,12.792,66.87
Task 2120,17.726,67.659
Task 2121,7.729,67.438
Task 2122,17.848,58.603
Task 2123,10.712,78.394
Task 2124,13.134,58.962
Task 2125,10.693,65.143
Task 2126,11.585,79.32
Task 2127,15.975,63.723
Task 2128,9.76,58.039
Task 2129,16.055,66.963
Task 2130,7.49,63.031
Task 2131,11.564,74.794
Task 2132,15.841,61.508
Task 2133,9.861,69.98
Task 2134,9.537,65.491
Task 2135,13.248,72.149
Task 2136,15.701,66.051
Task 2137,16.255,62.339
Task 2138,16.687,58.448
Task 2139,13.672,60.376
Task 2140,9.302,63.38
Task 2141,17.187,69.73
Task 2142,7.289,78.43
Task 2143,12.998,60.25
Task 2144,12.225,66.325
Task 2145,11.224,59.453
Task 2146,11.611,72.09
Task 2147,18.66,62.23
Task 2148,11.246,64.489
Task 2149,11.555,61.134
Task 2150,16.46,75.587
Task 2151,18.426,64.807
Task 2152,11.434,59.258
Task 2153,18.712,65.696
Task 2154,17.484,80.688
Task 2155,16.393,72.827
Task 2156,10.043,59.709
Task 2157,16.902,60.248
Task 2158,12.473,64.58
Task 2159,12.219,81.503
Task 2160,9.868,78.553
Task 2161,16.102,69.475
Task 2162,9.093,62.843
Task 2163,11.728,79.371
Task 2164,12.281,77.673
Task 2165,14.971,58.939
Task 2166,11.42,75.095
Task 2167,12.51,80.302
Task 2168,8.642,69.152
Task 2169,11.347,76.518
Task 2170,17.548,81.038
Task 2171,10.685,64.369
Task 2172,8.054,69.44
Task 2173,8.877,67.865
Task 2174,7.973,60.968
Task 2175,12.976,59.764
Task 2176,17.337,77.418
Task 2177,18.947,65.011
Task 2178,9.456,64.184
Task 2179,8.893,78.998
Task 2180,11.481,69.283
Task 2181,14.442,74.817
Task 2182,16.698,71.621
Task 2183,13.151,58.085
Task 2184,13.69,73.202
Task 2185,17.087,80.282
Task 2186,18.292,68.398
Task 2187,18.664,80.258
Task 2188,7.954,78.891
Task 2189,8.747,72.658
Task 2190,8.545,69.773
Task 2191,13.743,81.615
Task 2192,16.094,80.761
Task 2193,8.767,65.13
Task 2194,13.743,67.388
Task 2195,13.693,77.274
Task 2196,7.982,59.136
Task 2197,14.163,58.041
Task 2198,11.056,61.246
Task 2199,17.795,79.028
Task 2200,11.687,78.774
Task 2201,11.087,58.838
Task 2202,17.675,69.435
Task 2203,9.845,61.737
Task 2204,16.156,74.178
Task 2205,9.407,70.738
Task 2206,11.753,81.134
Task 2207,18.329,64.173
Task 2208,11.953,61.019
Task 2209,16.2,73.797
Task 2210,14.009,74.05
Task 2211,11.13,69.089
Task 2212,18.186,74.913
Task 2213,8.443,78.215
Task 2214,17.605,81.346
Task 2215,17.468,59.494
Task 2216,15.166,81.719
Task 2217,16.576,59.2
Task 2218,10.116,79.815
Task 2219,15.756,68.86
Task 2220,9.946,81.287
Task 2221,8.959,77.459
Task 2222,14.631,67.779
Task 2223,8.115,58.447
Task 2224,16.531,70.917
Task 2225,8.381,81.138
Task 2226,9.225,77.607
Task 2227,13.811,71.953
Task 2228,11.792,71.6
Task 2229,10.147,73.722
Task 2230,7.675,75.175
Task 2231,13.974,66.309
Task 2232,9.068,72.896
Task 2233,18.989,81.116
Task 2234,15.078,78.135
Task 2235,18.344,76.483
Task 2236,17.769,62.49
Task 2237,14.996,63.512
Task 2238,7.491,69.635
Task 2239,17.877,75.777
Task 2240,9.044,65.534
Task 2241,7.819,58.443
Task 2242,14.058,69.463
Task 2243,12.921,80.585
Task 2244,18.573,62.006
Task 2245,7.438,64.608
Task 2246,15.658,62.532
Task 2247,9.088,69.622
Task 2248,16.954,75.932
Task 2249,15.425,77.155
Task 2250,13.542,67.46
Task 2251,14.618,62.587
Task 2252,15.912,73.524
Task 2253,15.075,71.429
Task 2254,8.807,71.335
Task 2255,8.825,68.882
Task 2256,11.532,61.034
Task 2257,11.636,68.373
Task 2258,13.447,76.998
Task 2259,11.334,80.122
Task 2260,16.546,81.968
Task 2261,12.835,63.602
Task 2262,12.012,79.635
Task 2263,10.092,60.133
Task 2264,9.753,67.649
Task 2265,9.361,79.712
Task 2266,13.633,78.56
Task 2267,15.624,62.624
Task 2268,8.497,76.134
Task 2269,12.925,60.476
Task 2270,7.712,69.65
Task 2271,13.178,65.808
Task 2272,7.227,75.715
Task 2273,7.545,72.473
Task 2274,13.994,80.625
Task 2275,11.497,66.792
Task 2276,15.007,71.203
Task 2277,16.882,71.608
Task 2278,18.276,77.333
Task 2279,10.95,74.785
Task 2280,9.658,68.329
Task 2281,16.697,69.937
Task 2282,11.963,68.454
Task 2283,17.202,76.135
Task 2284,11.837,65.55
Task 2285,7.671,78.217
Task 2286,12.302,70.568
Task 2287,9.321,59.819
Task 2288,18.137,72.838
Task 2289,15.342,81.686
Task 2290,12.057,75.543
Task 2291,11.31,80.363
Task 2292,10.096,77.151
Task 2293,10.515,78.187
Task 2294,16.223,79.363
Task 2295,13.539,65.814
Task 2296,17.518,76.242
Task 2297,7.758,73.827
Task 2298,11.315,81.733
Task 2299,18.056,81.241
Task 2300,8.909,63.165
Task 2301,17.265,80.698
Task 2302,13.367,75.449
Task 2303,13.923,64.55
Task 2304,7.147,79.412
Task 2305,7.809,64.056
Task 2306,16.756,67.755
Task 2307,15.971,71.039
Task 2308,18.098,61.822
Task 2309,7.401,70.011
Task 2310,10.772,76.508
Task 2311,17.627,76.512
Task 2312,16.03,73.179
Task 2313,11.36,73.521
Task 2314,8.276,79.918
Task 2315,9.166,73.031
Task 2316,13.842,75.203
Task 2317,13.902,81.4
Task 2318,12.489,68.021
Task 2319,15.872,63.124
Task 2320,14.391,72.764
Task 2321,7.709,69.965
Task 2322,8.939,77.302
Task 2323,12.062,79.787
Task 2324,13.176,66.977
Task 2325,15.958,74.76
Task 2326,13.577,75.699
Task 2327,17.133,73.532
Task 2328,13.971,67.876
Task 2329,9.784,66.124
Task 2330,7.397,78.718
Task 2331,11.038,62.477
Task 2332,18.352,75.163
Task 2333,12.427,80.466
Task 2334,9.32,80.149
Task 2335,13.017,67.617
Task 2336,10.67,68.974
Task 2337,18.077,60.434
Task 2338,10.171,80.13
Task 2339,14.576,65.73
Task 2340,11.011,79.039
Task 2341,13.429,63.365
Task 2342,18.058,79.475
Task 2343,7.86,64.651
Task 2344,16.927,81.822
Task 2345,9.281,62.257
Task 2346,13.31,70.261
Task 2347,11.154,66.983
Task 2348,17.858,81.328
Task 2349,17.697,76.314
Task 2350,16.287,68.269
Task 2351,11.67,71.59
Task 2352,13.236,74.336
Task 2353,15.607,59.731
Task 2354,18.551,59.628
Task 2355,7.67,65.759
Task 2356,14.872,70.492
Task 2357,16.759,81.006
Task 2358,16.212,70.533
Task 2359,18.144,76.316
Task 2360,11.022,63.733
Task 2361,17.162,58.764
Task 2362,8.987,80.66
Task 2363,18.153,64.899
Task 2364,10.434,62.074
Task 2365,11.985,64.056
Task 2366,16.926,63.757
Task 2367,14.021,63.617
Task 2368,14.426,68.247
Task 2369,17.762,68.737
Task 2370,15.584,59.084
Task 2371,7.65,65.693
Task 2372,9.079,76.506
Task 2373,14.567,76.245
Task 2374,14.629,78.559
Task 2375,9.691,71.661
Task 2376,17.62,77.801
Task 2377,16.763,72.188
Task 2378,13.501,61.857
Task 2379,10.484,71.099
Task 2380,10.235,60.523
Task 2381,18.508,64.715
Task 2382,16.765,63.6
Task 2383,9.22,80.674
Task 2384,13.435,71.826
Task 2385,11.457,63.455
Task 2386,18.679,72.476
Task 2387,7.468,64.372
Task 2388,15.841,76.904
Task 2389,18.857,74.028
Task 2390,7.82,74.715
Task 2391,11.282,66.407
Task 2392,12.654,79.637
Task 2393,15.475,59.0
Task 2394,8.704,58.807
Task 2395,12.477,80.73
Task 2396,14.046,76.939
Task 2397,11.668,78.953
Task 2398,10.952,68.388
Task 2399,8.013,73.676
Task 2400,14.204,72.645
Task 2401,16.923,73.673
Task 2402,15.924,71.481
Task 2403,11.799,66.083
Task 2404,8.613,73.172
Task 2405,16.577,66.267
Task 2406,14.854,80.162
Task 2407,17.084,76.015
Task 2408,8.79,69.077
Task 2409,14.211,66.659
Task 2410,15.153,71.552
Task 2411,18.909,81.554
Task 2412,7.204,64.354
Task 2413,17.644,66.078
Task 2414,18.671,67.616
Task 2415,17.971,74.614
Task 2416,15.163,60.846
Task 2417,13.551,59.92
Task 2418,10.164,69.008
Task 2419,18.357,71.616
Task 2420,10.491,60.204
Task 2421,14.606,76.872
Task 2422,11.845,61.735
Task 2423,16.281,59.574
Task 2424,12.85,65.703
Task 2425,11.863,81.145
Task 2426,7.02,70.203
Task 2427,18.452,66.847
Task 2428,16.46,64.185
Task 2429,18.195,81.446
Task 2430,18.369,71.866
Task 2431,13.468,73.681
Task 2432,7.938,64.604
Task 2433,13.831,80.785
Task 2434,7.963,74.921
Task 2435,8.145,69.009
Task 2436,10.865,78.727
Task 2437,15.045,59.057
Task 2438,12.475,71.102
Task 2439,18.79,73.6
Task 2440,10.577,64.675
Task 2441,9.054,76.698
Task 2442,9.624,69.137
Task 2443,18.233,66.582
Task 2444,17.261,69.466
Task 2445,8.487,71.659
Task 2446,8.466,79.109
Task 2447,16.993,58.643
Task 2448,8.579,76.917
Task 2449,16.207,62.458
Task 2450,15.195,63.36
Task 2451,11.045,73.337
Task 2452,13.371,59.055
Task 2453,15.066,62.116
Task 2454,16.689,74.854
Task 2455,11.747,58.982
Task 2456,12.046,66.97
Task 2457,13.499,67.406
Task 2458,13.27,58.809
Task 2459,12.892,77.605
Task 2460,10.762,62.802
Task 2461,11.873,62.879
Task 2462,15.549,70.579
Task 2463,11.651,73.106
Task 2464,14.769,78.077
Task 2465,8.066,78.777
Task 2466,18.742,73.585
Task 2467,17.832,65.853
Task 2468,7.623,80.897
Task 2469,11.476,79.93
Task 2470,17.93,69.549
Task 2471,10.97,74.071
Task 2472,15.752,70.794
Task 2473,9.126,75.201
Task 2474,8.369,80.523
Task 2475,15.275,58.731
Task 2476,7.063,61.135
Task 2477,17.737,72.191
Task 2478,12.43,65.629
Task 2479,13.986,81.698
Task 2480,15.422,60.573
Task 2481,15.56,58.153
Task 2482,11.531,71.209
Task 2483,14.158,73.005
Task 2484,8.465,70.363
Task 2485,18.234,79.4
Task 2486,17.694,65.14
Task 2487,13.878,67.497
Task 2488,9.431,81.795
Task 2489,15.523,78.965
Task 2490,11.862,63.944
Task 2491,13.8,75.751
Task 2492,9.385,65.404
Task 2493,17.562,62.948
Task 2494,17.338,67.178
Task 2495,16.14,72.465
Task 2496,15.265,67.178
Task 2497,14.229,64.274
Task 2498,13.776,75.062
Task 2499,10.029,79.488
Task 2500,11.802,73.417
Task 2501,10.766,58.363
Task 2502,11.388,66.725
Task 2503,12.791,76.347
Task 2504,7.053,80.695
Task 2505,10.994,67.706
Task 2506,8.9,78.228
Task 2507,10.476,59.593
Task 2508,17.666,80.873
Task 2509,13.339,63.094
Task 2510,7.973,70.107
Task 2511,8.424,71.412
Task 2512,11.024,79.821
Task 2513,10.646,67.845
Task 2514,18.39,58.379
Task 2515,16.291,78.631
Task 2516,16.422,69.777
Task 2517,8.467,66.442
Task 2518,18.172,80.222
Task 2519,7.01,65.232
Task 2520,14.218,70.453
Task 2521,17.899,58.247
Task 2522,15.57,75.869
Task 2523,13.68,80.831
Task 2524,18.862,59.592
Task 2525,13.659,63.587
Task 2526,7.464,70.375
Task 2527,18.085,70.724
Task 2528,15.237,76.021
Task 2529,12.616,69.084
Task 2530,7.309,60.301
Task 2531,11.812,72.251
Task 2532,17.455,60.536
Task 2533,13.316,78.745
Task 2534,9.235,68.608
Task 2535,13.164,67.631
Task 2536,10.983,60.955
Task 2537,8.849,59.096
Task 2538,15.857,73.858
Task 2539,16.394,75.224
Task 2540,8.171,71.039
Task 2541,7.877,81.298
Task 2542,14.171,63.319
Task 2543,10.85,67.359
Task 2544,10.602,76.95
Task 2545,8.545,58.798
Task 2546,16.889,77.81
Task 2547,13.873,64.431
Task 2548,13.63,58.692
Task 2549,7.947,66.095
Task 2550,7.015,78.742
Task 2551,8.559,66.191
Task 2552,16.357,78.686
Task 2553,17.457,80.683
Task 2554,13.472,59.836
Task 2555,9.521,73.544
Task 2556,9.045,68.432
Task 2557,14.989,71.39
Task 2558,18.28,76.872
Task 2559,13.532,80.825
Task 2560,13.569,62.527
Task 2561,13.15,74.423
Task 2562,13.503,81.686
Task 2563,16.797,75.958
Task 2564,11.3,67.809
Task 2565,16.976,69.849
Task 2566,13.164,76.068
Task 2567,14.729,69.957
Task 2568,16.349,74.034
Task 2569,9.949,73.606
Task 2570,14.586,63.721
Task 2571,7.892,67.308
Task 2572,17.765,67.254
Task 2573,18.258,67.628
Task 2574,9.74,81.249
Task 2575,16.938,69.73
Task 2576,8.93,61.668
Task 2577,18.104,58.663
Task 2578,7.294,76.53
Task 2579,9.442,62.359
Task 2580,17.035,69.457
Task 2581,10.12,68.672
Task 2582,18.113,74.937
Task 2583,7.027,79.476
Task 2584,9.656,80.071
Task 2585,11.918,60.361
Task 2586,16.5,72.693
Task 2587,7.47,78.877
Task 2588,8.382,70.718
Task 2589,14.182,80.983
Task 2590,12.695,70.613
Task 2591,15.55,72.526
Task 2592,18.604,58.215
Task 2593,8.859,60.247
Task 2594,11.964,68.035
Task 2595,13.125,69.687
Task 2596,15.353,58.097
Task 2597,9.881,74.771
Task 2598,16.873,65.44
Task 2599,16.935,68.42
Task 2600,9.534,69.376
Task 2601,13.976,77.485
Task 2602,14.535,70.184
Task 2603,16.259,62.885
Task 2604,9.65,75.485
Task 2605,15.563,60.331
Task 2606,15.924,81.592
Task 2607,11.921,76.142
Task 2608,16.066,67.186
Task 2609,10.88,66.237
Task 2610,15.135,68.247
Task 2611,18.467,72.403
Task 2612,8.067,68.415
Task 2613,17.502,73.723
Task 2614,9.515,72.838
Task 2615,8.324,78.218
Task 2616,10.977,66.498
Task 2617,14.249,72.509
Task 2618,17.304,81.906
Task 2619,9.9,72.146
Task 2620,16.393,63.245
Task 2621,18.692,78.824
Task 2622,8.443,65.88
Task 2623,13.871,72.467
Task 2624,9.082,73.43
Task 2625,10.248,63.592
Task 2626,9.533,78.949
Task 2627,8.759,67.044
Task 2628,13.843,69.522
Task 2629,8.146,81.956
Task 2630,13.904,58.111
Task 2631,18.579,78.741
Task 2632,17.406,74.933
Task 2633,12.556,81.278
Task 2634,14.297,80.902
Task 2635,7.794,73.115
Task 2636,18.374,65.136
Task 2637,7.919,76.43
Task 2638,14.766,75.149
Task 2639,8.302,71.625
Task 2640,8.345,73.55
Task 2641,9.558,75.53
Task 2642,17.017,75.093
Task 2643,17.596,70.401
Task 2644,15.183,68.304
Task 2645,17.253,66.701
Task 2646,8.288,81.072
Task 2647,18.42,78.346
Task 2648,12.644,63.553
Task 2649,7.022,81.19
Task 2650,10.1,74.785
Task 2651,15.841,67.448
Task 2652,11.469,72.215
Task 2653,17.614,65.478
Task 2654,8.709,70.604
Task 2655,10.8,63.73
Task 2656,11.686,62.418
Task 2657,17.951,65.133
Task 2658,10.914,75.026
Task 2659,13.121,80.513
Task 2660,18.285,78.722
Task 2661,7.261,68.773
Task 2662,18.458,72.601
Task 2663,7.859,70.034
Task 2664,8.924,58.87
Task 2665,12.742,62.77
Task 2666,9.408,77.218
Task 2667,18.743,78.442
Task 2668,12.743,60.057
Task 2669,17.557,74.177
Task 2670,13.818,76.77
Task 2671,10.451,66.566
Task 2672,15.823,61.098
Task 2673,7.263,61.059
Task 2674,7.034,63.736
Task 2675,13.193,78.713
Task 2676,8.252,67.501
Task 2677,15.272,80.584
Task 2678,13.432,64.456
Task 2679,16.979,70.987
Task 2680,17.334,76.688
Task 2681,7.787,73.603
Task 2682,16.819,64.242
Task 2683,16.894,81.718
Task 2684,8.291,59.327
Task 2685,10.195,65.317
Task 2686,12.684,66.711
Task 2687,7.081,78.982
Task 2688,8.072,81.316
Task 2689,8.451,72.664
Task 2690,7.712,75.197
Task 2691,11.162,76.6
Task 2692,10.619,60.23
Task 2693,7.342,63.145
Task 2694,17.427,67.057
Task 2695,17.88,73.201
Task 2696,9.149,73.3
Task 2697,16.182,64.901
Task 2698,7.547,78.095
Task 2699,14.847,81.283
Task 2700,10.904,78.807
Task 2701,16.141,74.426
Task 2702,11.048,66.32
Task 2703,12.585,69.214
Task 2704,16.999,64.089
Task 2705,10.213,65.814
Task 2706,13.752,77.399
Task 2707,11.204,73.03
Task 2708,17.975,76.721
Task 2709,8.126,62.301
Task 2710,18.229,67.796
Task 2711,18.116,68.717
Task 2712,18.352,78.889
Task 2713,14.879,68.061
Task 2714,13.06,68.473
Task 2715,17.457,65.241
Task 2716,15.405,62.899
Task 2717,13.564,69.294
Task 2718,18.666,72.146
Task 2719,14.937,75.577
Task 2720,8.881,73.422
Task 2721,7.868,70.778
Task 2722,17.053,62.248
Task 2723,14.009,58.734
Task 2724,13.658,66.845
Task 2725,12.425,76.902
Task 2726,10.157,76.186
Task 2727,13.392,73.206
Task 2728,9.254,78.639
Task 2729,17.683,74.08
Task 2730,12.664,69.194
Task 2731,15.541,77.926
Task 2732,15.357,72.153
Task 2733,13.642,74.053
Task 2734,18.137,76.547
Task 2735,13.844,72.17
Task 2736,7.123,63.883
Task 2737,14.023,61.194
Task 2738,7.599,78.838
Task 2739,9.209,59.681
Task 2740,16.141,72.214
Task 2741,18.155,60.727
Task 2742,10.754,72.4
Task 2743,11.146,71.726
Task 2744,8.76,79.168
Task 2745,7.174,66.426
Task 2746,15.479,62.738
Task 2747,9.493,73.21
Task 2748,13.308,66.578
Task 2749,8.468,72.836
Task 2750,9.287,58.757
Task 2751,15.992,76.392
Task 2752,16.997,75.529
Task 2753,10.457,73.267
Task 2754,11.38,80.204
Task 2755,14.37,66.245
Task 2756,14.265,71.867
Task 2757,14.584,65.014
Task 2758,13.276,61.345
Task 2759,8.776,81.511
Task 2760,9.112,78.719
Task 2761,11.464,66.169
Task 2762,8.64,59.302
Task 2763,9.351,80.526
Task 2764,12.068,75.485
Task 2765,7.534,68.167
Task 2766,9.947,62.769
Task 2767,9.254,68.957
Task 2768,8.804,76.475
Task 2769,13.296,65.34
Task 2770,9.587,66.873
Task 2771,10.415,74.647
Task 2772,9.781,68.688
Task 2773,16.451,59.562
Task 2774,10.41,78.398
Task 2775,14.728,68.263
Task 2776,10.415,71.766
Task 2777,12.599,68.319
Task 2778,17.498,61.635
Task 2779,12.475,74.568
Task 2780,17.349,69.37
Task 2781,14.068,65.465
Task 2782,18.519,81.953
Task 2783,13.968,59.916
Task 2784,16.769,62.557
Task 2785,9.628,65.051
Task 2786,15.572,79.862
Task 2787,10.531,67.605
Task 2788,8.185,64.05
Task 2789,11.045,81.613
Task 2790,12.199,75.152
Task 2791,11.441,58.408
Task 2792,18.761,61.172
Task 2793,8.621,81.226
Task 2794,16.228,60.24
Task 2795,17.14,68.399
Task 2796,16.983,64.106
Task 2797,10.824,69.669
Task 2798,15.673,76.239
Task 2799,16.148,69.906
Task 2800,14.152,71.414
Task 2801,8.339,68.26
Task 2802,15.612,76.827
Task 2803,17.087,74.064
Task 2804,17.278,79.181
Task 2805,14.059,81.741
Task 2806,11.843,79.424
Task 2807,9.051,62.241
Task 2808,12.479,71.368
Task 2809,11.788,78.788
Task 2810,15.257,70.794
Task 2811,15.022,79.944
Task 2812,15.062,80.551
Task 2813,14.288,72.74
Task 2814,9.84,76.253
Task 2815,16.491,64.558
Task 2816,16.699,81.717
Task 2817,11.865,65.633
Task 2818,11.031,77.6
Task 2819,13.814,80.079
Task 2820,8.618,71.934
Task 2821,12.526,66.37
Task 2822,17.93,62.987
Task 2823,13.233,61.7
Task 2824,15.253,71.98
Task 2825,7.032,66.151
Task 2826,12.748,80.525
Task 2827,9.787,66.846
Task 2828,13.021,66.32
Task 2829,17.576,59.99
Task 2830,14.716,70.859
Task 2831,8.749,61.576
Task 2832,9.281,62.432
Task 2833,7.531,77.455
Task 2834,11.969,80.678
Task 2835,12.127,60.32
Task 2836,8.138,75.842
Task 2837,12.509,71.848
Task 2838,8.885,67.177
Task 2839,13.778,74.379
Task 2840,18.678,72.874
Task 2841,10.788,66.52
Task 2842,17.207,63.745
Task 2843,14.139,81.575
Task 2844,7.567,66.489
Task 2845,9.781,60.639
Task 2846,12.692,72.893
Task 2847,10.831,64.447
Task 2848,9.359,66.083
Task 2849,16.856,64.076
Task 2850,14.127,81.849
Task 2851,13.317,61.054
Task 2852,13.895,65.838
Task 2853,12.29,76.816
Task 2854,7.095,79.683
Task 2855,15.116,71.493
Task 2856,7.479,62.137
Task 2857,7.572,61.2
Task 2858,16.597,60.419
Task 2859,18.063,79.586
Task 2860,15.689,66.269
Task 2861,14.208,78.737
Task 2862,15.998,59.299
Task 2863,11.124,81.988
Task 2864,17.951,73.357
Task 2865,14.773,72.506
Task 2866,9.546,77.274
Task 2867,17.078,78.13
Task 2868,12.821,78.003
Task 2869,8.831,79.927
Task 2870,15.329,75.402
Task 2871,7.156,77.864
Task 2872,14.981,75.737
Task 2873,7.348,79.907
Task 2874,11.245,81.657
Task 2875,11.466,63.675
Task 2876,10.52,68.133
Task 2877,10.628,62.867
Task 2878,14.137,69.995
Task 2879,16.866,65.065
Task 2880,18.886,74.369
Task 2881,12.554,60.457
Task 2882,8.642,74.176
Task 2883,11.417,71.439
Task 2884,12.45,77.848
Task 2885,9.168,69.346
Task 2886,18.337,81.371
Task 2887,7.639,72.998
Task 2888,10.372,59.285
Task 2889,12.422,80.075
Task 2890,13.563,81.112
Task 2891,15.064,78.952
Task 2892,10.079,59.078
Task 2893,11.459,61.852
Task 2894,15.584,74.33
Task 2895,18.182,74.877
Task 2896,11.908,69.395
Task 2897,12.259,77.899
Task 2898,13.003,73.633
Task 2899,14.24,66.719
Task 2900,18.457,61.761
Task 2901,13.311,58.26
Task 2902,12.31,72.154
Task 2903,17.478,61.297
Task 2904,17.663,63.065
Task 2905,17.066,65.947
Task 2906,7.45,65.374
Task 2907,13.39,73.793
Task 2908,15.659,62.526
Task 2909,16.975,61.162
Task 2910,18.654,64.653
Task 2911,16.953,63.75
Task 2912,12.065,73.744
Task 2913,14.222,66.966
Task 2914,8.823,73.44
Task 2915,17.551,70.921
Task 2916,15.749,60.324
Task 2917,17.4,69.425
Task 2918,12.227,78.596
Task 2919,11.475,67.421
Task 2920,15.531,75.391
Task 2921,12.739,59.567
Task 2922,8.157,65.201
Task 2923,7.342,78.031
Task 2924,9.289,65.131
Task 2925,15.36,70.879
Task 2926,12.311,59.724
Task 2927,12.666,63.573
Task 2928,17.717,64.063
Task 2929,10.185,79.453
Task 2930,13.569,67.747
Task 2931,12.598,65.362
Task 2932,11.803,76.224
Task 2933,17.931,62.875
Task 2934,15.347,78.009
Task 2935,13.558,79.261
